Search_ID,Customer_ID,Search_Keyword,Search_Category,Search_Date,Result_Clicked,Product_Clicked
SRCH_000031,CUST_00516,makeup,Beauty,2026-08-16 20:56:35,1,L'Oreal Keratin Smoothing Hair Mask - Classic Beige
SRCH_000032,CUST_01868,personal,Personal Care,2026-07-18 13:09:35,1,Philips Cordless Rechargeable Beard Trimmer
SRCH_000033,CUST_02114,gaming,Gaming,2026-06-02 17:03:35,1,Razer Next-Gen Home Gaming Console 1TB
SRCH_000034,CUST_02985,footwear,Footwear,2026-05-29 19:04:35,1,Clarks Genuine Leather Oxford Shoes
SRCH_000035,CUST_02513,fashion,Fashion,2026-07-17 05:15:35,1,FabIndia Floral Print Maxi Summer Dress
SRCH_000036,CUST_01975,sports,Sports,2026-05-16 15:49:35,1,Nivia Extra Thick Non-Slip Eco Yoga Mat - Pearl White
SRCH_000037,CUST_02135,decor,Home,2026-07-06 23:25:35,1,Home Centre Handwoven Boho Area Rug - Pearl White
SRCH_000038,CUST_01358,men's clothing,Fashion,2026-03-23 05:06:35,1,Nike Classic Denim Slim Jeans - Pearl White
SRCH_000039,CUST_01750,technology,Books,2026-05-22 01:59:35,1,Penguin Designing Data-Intensive Applications - Midnight Black
SRCH_000040,CUST_02202,business & finance,Books,2026-08-15 19:08:35,1,O'Reilly Designing Data-Intensive Applications - Midnight Black
SRCH_000041,CUST_00205,grocery,Grocery,2026-05-01 12:16:35,1,Nestle Cold-Pressed Extra Virgin Olive Oil 1L - Space Gray
SRCH_000042,CUST_00707,men's clothing,Fashion,2026-08-06 00:39:35,1,Puma Casual Stretch Chino Trousers
SRCH_000043,CUST_02074,student laptops,Laptops,2026-09-05 11:35:35,1,Apple Business Productivity Notebook
SRCH_000044,CUST_02159,makeup,Beauty,2026-05-06 14:59:35,1,The Ordinary Matte Velvet Long-Stay Lipstick
SRCH_000045,CUST_02031,decor,Home,2026-03-30 07:11:35,1,IKEA Velvet Touch Blackout Window Curtains
SRCH_000046,CUST_01675,technology,Books,2026-03-30 19:14:35,1,O'Reilly Deep Work: Focused Success in a Distracted World - Navy Blue
SRCH_000047,CUST_01583,fragrances,Beauty,2026-07-03 11:07:35,1,L'Oreal Matte Liquid Longwear Foundation - Charcoal
SRCH_000048,CUST_01225,beauty,Beauty,2026-06-20 21:55:35,1,L'Oreal Matte Velvet Long-Stay Lipstick
SRCH_000049,CUST_01972,sneakers,Footwear,2026-06-16 08:12:35,1,Puma Cushioned Running Shoes - Crimson Red
SRCH_000050,CUST_01995,beauty,Beauty,2026-07-08 08:21:35,1,L'Oreal Matte Liquid Longwear Foundation
SRCH_000051,CUST_01916,electronics,Electronics,2026-03-21 07:49:35,1,Sony Digital Mirrorless Camera - Space Gray
SRCH_000052,CUST_01076,fashion,Fashion,2026-07-20 04:32:35,1,H&M Floral Print Maxi Summer Dress - Olive Green
SRCH_000053,CUST_01006,yoga,Sports,2026-04-18 06:37:35,1,Nivia Anti-Burst Gym Exercise Ball with Pump
SRCH_000054,CUST_01796,running shoes,Footwear,2026-05-12 22:59:35,1,Reebok Cushioned Running Shoes - Classic Beige
SRCH_000055,CUST_00984,winterwear,Fashion,2026-06-07 18:32:35,1,FabIndia Classic Denim Slim Jeans - Classic Beige
SRCH_000056,CUST_00945,books,Books,2026-08-11 11:55:35,1,O'Reilly Python Machine Learning & AI Mastery
SRCH_000057,CUST_01269,fragrances,Beauty,2026-05-26 19:35:35,1,L'Oreal Matte Velvet Long-Stay Lipstick - Pearl White
SRCH_000058,CUST_00104,technology,Books,2026-06-12 12:21:35,1,HarperCollins Python Machine Learning & AI Mastery
SRCH_000059,CUST_01321,fitness equipment,Sports,2026-06-03 15:43:35,1,Cosco Extra Thick Non-Slip Eco Yoga Mat
SRCH_000060,CUST_00741,grocery,Grocery,2026-06-18 08:59:35,1,Organic India Cold-Pressed Extra Virgin Olive Oil 1L
SRCH_000061,CUST_00592,electronics,Electronics,2026-04-18 20:25:35,1,Sennheiser Smart Home Voice Hub - Olive Green
SRCH_000062,CUST_01618,television,Electronics,2026-05-07 16:58:35,1,Samsung Digital Mirrorless Camera
SRCH_000063,CUST_00385,accessories,Gaming,2026-08-28 08:55:35,1,Corsair RGB Mechanical Gaming Keyboard - Rose Gold
SRCH_000064,CUST_00184,office,Furniture,2026-03-20 13:01:35,1,Urban Ladder Ergonomic Mesh High-Back Office Chair
SRCH_000065,CUST_01903,bags & backpacks,Accessories,2026-06-29 12:34:35,1,Spigen Magnetic Qi Fast Wireless Charger Stand - Pearl White
SRCH_000066,CUST_02107,audio,Electronics,2026-04-06 10:38:35,1,Sony Digital Mirrorless Camera - Space Gray
SRCH_000067,CUST_01247,fashion,Fashion,2026-08-16 13:24:35,1,Puma Floral Print Maxi Summer Dress - Space Gray
SRCH_000068,CUST_01991,winterwear,Fashion,2026-08-30 06:45:35,1,Levis Solid Crew Neck Cotton T-Shirt - Midnight Black
SRCH_000069,CUST_01874,bags & backpacks,Accessories,2026-05-19 16:28:35,1,Anker Multi-Port 7-in-1 USB-C Hub Adapter - Olive Green
SRCH_000070,CUST_01082,cookware,Kitchen,2026-09-07 08:14:35,1,Prestige Hard Anodized Non-Stick Cookware Set - Olive Green
SRCH_000071,CUST_01475,mobiles,Mobiles,2026-05-08 04:26:35,1,Xiaomi Smooth Display Mid-Range 5G
SRCH_000072,CUST_02787,living room,Furniture,2026-07-16 22:45:35,1,Sleepyhead Modern Engineered Wood Computer Desk
SRCH_000073,CUST_01806,accessories,Gaming,2026-04-08 05:45:35,1,SteelSeries Next-Gen Home Gaming Console 1TB - Midnight Black
SRCH_000074,CUST_02676,shaving & grooming,Personal Care,2026-07-18 12:57:35,1,Dove Cordless Rechargeable Beard Trimmer - Pearl White
SRCH_000075,CUST_01634,fitness equipment,Sports,2026-08-05 12:02:35,1,Boldfit Extra Thick Non-Slip Eco Yoga Mat - Space Gray
SRCH_000076,CUST_01396,cookware,Kitchen,2026-08-08 22:47:35,1,Pigeon Electric Rapid Air Fryer 4.5L - Silver
SRCH_000077,CUST_01496,mid-range,Mobiles,2026-08-31 02:10:35,1,Motorola Sleek Curve Screen 5G Phone
SRCH_000078,CUST_02149,smart devices,Electronics,2026-04-28 01:35:35,1,Samsung Digital Mirrorless Camera - Space Gray
SRCH_000079,CUST_01269,electronics,Electronics,2026-05-21 18:15:35,1,Sony Digital Mirrorless Camera - Space Gray
SRCH_000080,CUST_00733,mobiles,Mobiles,2026-06-12 19:10:35,1,OnePlus Battery King Phone 6000mAh - Space Gray
SRCH_000081,CUST_02538,student laptops,Laptops,2026-03-13 16:13:35,1,Asus Creator Studio Laptop 4K OLED - Crimson Red
SRCH_000082,CUST_02347,accessories,Gaming,2026-05-04 13:42:35,1,SteelSeries Next-Gen Home Gaming Console 1TB - Midnight Black
SRCH_000083,CUST_02049,small appliances,Kitchen,2026-03-29 02:50:35,1,Prestige Hard Anodized Non-Stick Cookware Set - Olive Green
SRCH_000084,CUST_02588,electronics,Electronics,2026-08-07 15:54:35,1,Boat Noise Cancelling Wireless Earbuds
SRCH_000085,CUST_00729,men's clothing,Fashion,2026-04-13 02:30:35,1,H&M Cozy Fleece Pullover Hoodie - Pearl White
SRCH_000086,CUST_01260,footwear,Footwear,2026-03-17 20:26:35,1,Reebok Comfort Walking Slip-On Shoes
SRCH_000087,CUST_00514,books,Books,2026-04-12 04:15:35,1,Bloomsbury The Psychology of Money
SRCH_000088,CUST_00218,personal,Personal Care,2026-06-30 21:03:35,1,Gillette Sonic Electric Toothbrush with Timer
SRCH_000089,CUST_01118,running shoes,Footwear,2026-06-21 12:57:35,1,Nike Waterproof Outdoor Hiking Boots - Space Gray
SRCH_000090,CUST_02881,sneakers,Footwear,2026-06-23 03:04:35,1,Bata Comfort Walking Slip-On Shoes - Rose Gold
SRCH_000091,CUST_01490,beauty,Beauty,2026-07-11 21:19:35,1,L'Oreal Matte Velvet Long-Stay Lipstick - Pearl White
SRCH_000092,CUST_00751,books,Books,2026-04-29 02:32:35,1,Penguin Atomic Habits: Build Good Habits
SRCH_000093,CUST_02783,grocery,Grocery,2026-07-23 10:41:35,1,Saffola Artisan Dark Roasted Arabica Coffee Beans 250g
SRCH_000094,CUST_02598,beverages,Grocery,2026-07-31 13:21:35,1,Nestle Artisan Dark Roasted Arabica Coffee Beans 250g
SRCH_000095,CUST_02987,winterwear,Fashion,2026-07-04 16:12:35,1,Nike Cozy Fleece Pullover Hoodie - Pearl White
SRCH_000096,CUST_02702,wearables,Electronics,2026-06-07 19:45:35,1,Sennheiser Wireless Bluetooth Headphones
SRCH_000097,CUST_00394,wearables,Electronics,2026-07-13 22:04:35,1,Sony 4K Ultra HD Smart TV 55-inch
SRCH_000098,CUST_01601,television,Electronics,2026-07-06 23:36:35,1,JBL Noise Cancelling Wireless Earbuds - Space Gray
SRCH_000099,CUST_02966,decor,Home,2026-03-20 08:38:35,1,Spaces 100% Cotton 300TC Double Bed Sheet - Space Gray
SRCH_000100,CUST_02132,yoga,Sports,2026-03-27 09:50:35,1,Puma Carbon Fiber Badminton Racket - Midnight Black
SRCH_000101,CUST_01527,mid-range,Mobiles,2026-06-13 01:46:35,1,Motorola Battery King Phone 6000mAh
SRCH_000102,CUST_01521,electronics,Electronics,2026-05-06 19:34:35,1,JBL Smart Fitness Watch
SRCH_000103,CUST_01212,wearables,Electronics,2026-08-28 19:49:35,1,JBL Smart Fitness Watch
SRCH_000104,CUST_00436,personal care,Personal Care,2026-04-15 20:34:35,1,Dove Deep Cleansing Charcoal Body Wash 500ml
SRCH_000105,CUST_01341,accessories,Accessories,2026-09-06 12:53:35,1,American Tourister Magnetic Qi Fast Wireless Charger Stand
SRCH_000106,CUST_00419,fitness equipment,Sports,2026-05-01 18:08:35,1,Boldfit Extra Thick Non-Slip Eco Yoga Mat - Space Gray
SRCH_000107,CUST_00138,sports,Sports,2026-07-20 04:20:35,1,Yonex Anti-Burst Gym Exercise Ball with Pump - Olive Green
SRCH_000108,CUST_00451,ultrabooks,Laptops,2026-07-30 05:34:35,1,Lenovo Pro Gaming Laptop RTX 4070 - Midnight Black
SRCH_000109,CUST_00513,home,Home,2026-06-02 20:05:35,1,IKEA Velvet Touch Blackout Window Curtains
SRCH_000110,CUST_01697,shaving & grooming,Personal Care,2026-06-29 16:55:35,1,Dove Gentle Sulfate-Free Moisturizing Body Lotion
SRCH_000111,CUST_02152,kitchen,Kitchen,2026-04-06 10:42:35,1,Pigeon Heavy-Duty 750W Mixer Grinder - Charcoal
SRCH_000112,CUST_02638,mobiles,Mobiles,2026-05-26 15:19:35,1,Samsung Smartphone Ultra 5G - Space Gray
SRCH_000113,CUST_01821,men's clothing,Fashion,2026-07-12 20:13:35,1,FabIndia Solid Crew Neck Cotton T-Shirt - Midnight Black
SRCH_000114,CUST_00150,running shoes,Footwear,2026-09-01 12:44:35,1,Bata Cushioned Running Shoes
SRCH_000115,CUST_02391,men's clothing,Fashion,2026-03-31 04:45:35,1,FabIndia Floral Print Maxi Summer Dress - Midnight Black
SRCH_000116,CUST_02940,bedding,Home,2026-04-17 06:38:35,1,Philips 100% Cotton 300TC Double Bed Sheet
SRCH_000117,CUST_01973,beverages,Grocery,2026-08-30 03:51:35,1,Organic India Cold-Pressed Extra Virgin Olive Oil 1L
SRCH_000118,CUST_00486,shaving & grooming,Personal Care,2026-08-04 06:58:35,1,Colgate Deep Cleansing Charcoal Body Wash 500ml
SRCH_000119,CUST_02574,men's clothing,Fashion,2026-05-06 18:22:35,1,Raymond Floral Print Maxi Summer Dress
SRCH_000120,CUST_02657,home,Home,2026-08-31 21:20:35,1,Solimo 100% Cotton 300TC Double Bed Sheet
SRCH_000121,CUST_01701,running shoes,Footwear,2026-04-11 02:51:35,1,Puma Cushioned Running Shoes - Olive Green
SRCH_000122,CUST_01538,shaving & grooming,Personal Care,2026-03-16 19:06:35,1,Gillette Cordless Rechargeable Beard Trimmer - Olive Green
SRCH_000123,CUST_02979,books,Books,2026-06-26 14:24:35,1,O'Reilly Atomic Habits: Build Good Habits - Rose Gold
SRCH_000124,CUST_00271,footwear,Footwear,2026-05-12 03:43:35,1,Adidas Genuine Leather Oxford Shoes
SRCH_000125,CUST_00985,yoga,Sports,2026-07-02 21:53:35,1,Decathlon Carbon Fiber Badminton Racket
SRCH_000126,CUST_00476,student laptops,Laptops,2026-07-13 11:00:35,1,Asus Pro Gaming Laptop RTX 4070 - Charcoal
SRCH_000127,CUST_01300,smart devices,Electronics,2026-03-18 20:01:35,1,LG 4K Ultra HD Smart TV 55-inch - Olive Green
SRCH_000128,CUST_01599,business & finance,Books,2026-07-26 14:34:35,1,HarperCollins Designing Data-Intensive Applications
SRCH_000129,CUST_00718,winterwear,Fashion,2026-03-22 21:24:35,1,Nike Floral Print Maxi Summer Dress - Charcoal
SRCH_000130,CUST_01868,personal care,Personal Care,2026-04-25 04:01:35,1,Gillette Deep Cleansing Charcoal Body Wash 500ml
SRCH_000131,CUST_00831,technology,Books,2026-03-29 03:29:35,1,Random House Designing Data-Intensive Applications - Olive Green
SRCH_000132,CUST_02935,laptops,Laptops,2026-04-03 18:43:35,1,Apple Ultra-Slim Metal Ultrabook - Rose Gold
SRCH_000133,CUST_01049,personal,Personal Care,2026-05-21 12:38:35,1,Oral-B Cordless Rechargeable Beard Trimmer - Navy Blue
SRCH_000134,CUST_02906,mobile accessories,Accessories,2026-08-07 04:08:35,1,Spigen Shockproof Clear Phone Case - Charcoal
SRCH_000135,CUST_01692,books,Books,2026-09-06 22:32:35,1,Bloomsbury Python Machine Learning & AI Mastery
SRCH_000136,CUST_02521,electronics,Electronics,2026-07-20 14:22:35,1,JBL Bass Soundbar with Subwoofer - Navy Blue
SRCH_000137,CUST_01868,personal care,Personal Care,2026-06-22 10:31:35,1,Dettol Cordless Rechargeable Beard Trimmer - Charcoal
SRCH_000138,CUST_02262,running shoes,Footwear,2026-08-28 11:00:35,1,Bata Genuine Leather Oxford Shoes - Navy Blue
SRCH_000139,CUST_02186,fitness equipment,Sports,2026-04-09 02:28:35,1,Decathlon Anti-Burst Gym Exercise Ball with Pump
SRCH_000140,CUST_02246,home,Home,2026-06-21 07:14:35,1,IKEA 100% Cotton 300TC Double Bed Sheet
SRCH_000141,CUST_02701,storage & containers,Kitchen,2026-08-09 11:32:35,1,Pigeon Airtight Glass Food Storage Jars - Crimson Red
SRCH_000142,CUST_01345,technology,Books,2026-07-13 11:20:35,1,Bloomsbury Atomic Habits: Build Good Habits - Crimson Red
SRCH_000143,CUST_01927,skincare,Beauty,2026-04-10 08:50:35,1,Maybelline Hydrating Hyaluronic Acid Serum
SRCH_000144,CUST_01350,skincare,Beauty,2026-04-04 23:00:35,1,L'Oreal Keratin Smoothing Hair Mask - Midnight Black
SRCH_000145,CUST_00894,gaming,Gaming,2026-08-29 01:51:35,1,Logitech G Surround Sound Gaming Headset with Mic
SRCH_000146,CUST_00792,technology,Books,2026-08-31 20:38:35,1,Penguin Designing Data-Intensive Applications - Midnight Black
SRCH_000147,CUST_02408,gaming,Gaming,2026-04-19 07:10:35,1,Razer Next-Gen Home Gaming Console 1TB
SRCH_000148,CUST_01167,furniture,Furniture,2026-07-01 22:16:35,1,Sleepyhead Modern Engineered Wood Computer Desk - Charcoal
SRCH_000149,CUST_01286,electronics,Electronics,2026-03-14 03:08:35,1,Boat Smart Fitness Watch
SRCH_000150,CUST_00059,mobiles,Mobiles,2026-08-31 03:36:35,1,Motorola Smartphone Ultra 5G - Midnight Black
SRCH_000151,CUST_02208,fragrances,Beauty,2026-07-14 10:37:35,1,L'Oreal Luxury Eau De Parfum 100ml
SRCH_000152,CUST_01001,grocery,Grocery,2026-06-02 19:59:35,1,Tata Cold-Pressed Extra Virgin Olive Oil 1L
SRCH_000153,CUST_01382,television,Electronics,2026-08-12 02:55:35,1,Samsung Smart Wi-Fi Security Camera
SRCH_000154,CUST_00470,outdoor sports,Sports,2026-08-19 23:44:35,1,Decathlon Quick Dry Athletic Training Shorts
SRCH_000155,CUST_00919,technology,Books,2026-08-17 13:06:35,1,Random House Designing Data-Intensive Applications - Midnight Black
SRCH_000156,CUST_00793,outdoor sports,Sports,2026-03-13 20:00:35,1,Yonex Anti-Burst Gym Exercise Ball with Pump - Space Gray
SRCH_000157,CUST_01708,business & finance,Books,2026-05-21 09:29:35,1,O'Reilly Atomic Habits: Build Good Habits - Rose Gold
SRCH_000158,CUST_01117,fashion,Fashion,2026-05-08 02:34:35,1,H&M Cozy Fleece Pullover Hoodie - Pearl White
SRCH_000159,CUST_02898,student laptops,Laptops,2026-08-08 03:36:35,1,HP Ultra-Slim Metal Ultrabook - Charcoal
SRCH_000160,CUST_01630,business & finance,Books,2026-07-18 16:00:35,1,HarperCollins Designing Data-Intensive Applications
SRCH_000161,CUST_01107,running shoes,Footwear,2026-05-28 17:56:35,1,Adidas Waterproof Outdoor Hiking Boots - Rose Gold
SRCH_000162,CUST_01528,bags & backpacks,Accessories,2026-06-02 03:05:35,1,American Tourister 9H Tempered Glass Screen Protector (2-Pack) - Classic Beige
SRCH_000163,CUST_00210,bedding,Home,2026-08-11 01:36:35,1,Philips Smart LED Color Ambient Bulb
SRCH_000164,CUST_00720,small appliances,Kitchen,2026-09-03 19:31:35,1,Hawkins Electric Rapid Air Fryer 4.5L
SRCH_000165,CUST_00866,mobiles,Mobiles,2026-08-27 19:20:35,1,Samsung Sleek Curve Screen 5G Phone - Olive Green
SRCH_000166,CUST_01544,electronics,Electronics,2026-04-25 07:37:35,1,Sony Smart Fitness Watch
SRCH_000167,CUST_02086,ultrabooks,Laptops,2026-06-29 22:28:35,1,Apple Creator Studio Laptop 4K OLED - Classic Beige
SRCH_000168,CUST_01300,footwear,Footwear,2026-04-09 14:49:35,1,Adidas Waterproof Outdoor Hiking Boots - Rose Gold
SRCH_000169,CUST_00680,cooking essentials,Grocery,2026-06-07 22:51:35,1,Tata Organic Green Tea Herbal Infusion 100 Bags
SRCH_000170,CUST_01155,running shoes,Footwear,2026-07-03 21:46:35,1,Bata Comfort Walking Slip-On Shoes - Rose Gold
SRCH_000171,CUST_00425,footwear,Footwear,2026-04-20 09:56:35,1,Adidas Waterproof Outdoor Hiking Boots - Rose Gold
SRCH_000172,CUST_01928,winterwear,Fashion,2026-06-28 07:18:35,1,Puma Solid Crew Neck Cotton T-Shirt
SRCH_000173,CUST_02163,running shoes,Footwear,2026-06-24 02:12:35,1,Adidas Comfort Walking Slip-On Shoes - Rose Gold
SRCH_000174,CUST_02889,mobile accessories,Accessories,2026-07-08 16:25:35,1,Spigen Magnetic Qi Fast Wireless Charger Stand - Midnight Black
SRCH_000175,CUST_00664,mobiles,Mobiles,2026-05-14 06:31:35,1,Realme Sleek Curve Screen 5G Phone - Rose Gold
SRCH_000176,CUST_02284,student laptops,Laptops,2026-08-26 05:03:35,1,Acer Ultra-Slim Metal Ultrabook - Classic Beige
SRCH_000177,CUST_02144,skincare,Beauty,2026-04-11 17:08:35,1,The Ordinary Matte Velvet Long-Stay Lipstick
SRCH_000178,CUST_01886,personal,Personal Care,2026-07-27 11:23:35,1,Dove Gentle Sulfate-Free Moisturizing Body Lotion - Space Gray
SRCH_000179,CUST_00030,grocery,Grocery,2026-03-21 00:13:35,1,Nestle Organic Raw Honey 500g - Navy Blue
SRCH_000180,CUST_01925,beverages,Grocery,2026-08-06 02:46:35,1,Nestle Roasted California Almonds 500g - Rose Gold
SRCH_000181,CUST_02202,business & finance,Books,2026-04-11 04:10:35,1,HarperCollins Designing Data-Intensive Applications
SRCH_000182,CUST_01443,running shoes,Footwear,2026-05-18 17:33:35,1,Nike Comfort Walking Slip-On Shoes - Pearl White
SRCH_000183,CUST_02230,kitchen,Kitchen,2026-06-08 04:04:35,1,Pigeon Stainless Steel Chef Knife Set - Midnight Black
SRCH_000184,CUST_00895,fragrances,Beauty,2026-06-28 11:48:35,1,Nivea Luxury Eau De Parfum 100ml
SRCH_000185,CUST_01520,men's clothing,Fashion,2026-06-12 07:29:35,1,Puma Cozy Fleece Pullover Hoodie - Rose Gold
SRCH_000186,CUST_00658,kitchen,Kitchen,2026-03-22 06:01:35,1,Milton Stainless Steel Chef Knife Set - Classic Beige
SRCH_000187,CUST_02013,home,Home,2026-06-24 07:38:35,1,Solimo 100% Cotton 300TC Double Bed Sheet - Silver
SRCH_000188,CUST_00992,running shoes,Footwear,2026-08-15 12:47:35,1,Adidas Cushioned Running Shoes - Silver
SRCH_000189,CUST_00159,running shoes,Footwear,2026-03-23 12:55:35,1,Reebok Waterproof Outdoor Hiking Boots - Rose Gold
SRCH_000190,CUST_00363,makeup,Beauty,2026-03-24 10:28:35,1,L'Oreal Luxury Eau De Parfum 100ml
SRCH_000191,CUST_01772,gaming,Gaming,2026-05-20 23:53:35,1,Razer Surround Sound Gaming Headset with Mic
SRCH_000192,CUST_02468,beauty,Beauty,2026-04-20 20:32:35,1,The Ordinary Matte Velvet Long-Stay Lipstick - Charcoal
SRCH_000193,CUST_00378,accessories,Accessories,2026-05-08 08:37:35,1,American Tourister Ergonomic Silent Wireless Mouse
SRCH_000194,CUST_02675,bags & backpacks,Accessories,2026-07-12 15:58:35,1,Logitech Shockproof Clear Phone Case
SRCH_000195,CUST_00248,bedding,Home,2026-05-12 17:46:35,1,IKEA Velvet Touch Blackout Window Curtains - Midnight Black
SRCH_000196,CUST_02841,budget,Mobiles,2026-03-25 12:42:35,1,Realme Battery King Phone 6000mAh - Crimson Red
SRCH_000197,CUST_02305,winterwear,Fashion,2026-07-08 00:23:35,1,Raymond Floral Print Maxi Summer Dress
SRCH_000198,CUST_00362,student laptops,Laptops,2026-05-28 10:46:35,1,Acer Ultra-Slim Metal Ultrabook - Olive Green
SRCH_000199,CUST_00719,running shoes,Footwear,2026-07-06 05:35:35,1,Adidas Genuine Leather Oxford Shoes
SRCH_000200,CUST_00380,books,Books,2026-08-03 13:21:35,1,O'Reilly The Psychology of Money - Charcoal
SRCH_000201,CUST_01478,storage & containers,Kitchen,2026-08-09 16:10:35,1,Prestige Airtight Glass Food Storage Jars
SRCH_000202,CUST_01374,running shoes,Footwear,2026-07-22 22:16:35,1,Reebok Comfort Walking Slip-On Shoes
SRCH_000203,CUST_02713,small appliances,Kitchen,2026-06-17 22:34:35,1,Prestige Airtight Glass Food Storage Jars - Crimson Red
SRCH_000204,CUST_00218,footwear,Footwear,2026-09-04 02:40:35,1,Nike Genuine Leather Oxford Shoes - Crimson Red
SRCH_000205,CUST_01005,shaving & grooming,Personal Care,2026-06-10 13:26:35,1,Colgate Gentle Sulfate-Free Moisturizing Body Lotion - Olive Green
SRCH_000206,CUST_00511,bedding,Home,2026-08-03 04:23:35,1,Spaces Velvet Touch Blackout Window Curtains - Rose Gold
SRCH_000207,CUST_01998,winterwear,Fashion,2026-05-24 14:28:35,1,Nike Classic Denim Slim Jeans - Pearl White
SRCH_000208,CUST_00496,fashion,Fashion,2026-07-07 12:39:35,1,Puma Cozy Fleece Pullover Hoodie - Classic Beige
SRCH_000209,CUST_02399,ultrabooks,Laptops,2026-05-25 19:49:35,1,Asus Pro Gaming Laptop RTX 4070 - Charcoal
SRCH_000210,CUST_00087,sports,Sports,2026-07-07 01:54:35,1,Puma Adjustable Hex Dumbbells Pair - Classic Beige
SRCH_000211,CUST_01677,technology,Books,2026-05-26 06:41:35,1,O'Reilly Designing Data-Intensive Applications - Midnight Black
SRCH_000212,CUST_02042,accessories,Accessories,2026-06-10 18:25:35,1,Spigen 9H Tempered Glass Screen Protector (2-Pack)
SRCH_000213,CUST_00913,small appliances,Kitchen,2026-04-04 17:25:35,1,Prestige Hard Anodized Non-Stick Cookware Set - Olive Green
