Interaction_ID,Customer_ID,Product_ID,Interaction_Type,Timestamp,Session_ID,Search_Keyword,Category,Device,Time_Spent,Product_Viewed,Added_To_Wishlist,Added_To_Cart,Purchased,Rating_Given
INT_0000020,CUST_02544,PROD_00629,Search,2026-05-11 17:13:35,SESS_301872,shaving & grooming,Personal Care,Mobile App,23,0,0,0,0,0
INT_0000021,CUST_02544,PROD_00609,View,2026-05-11 17:14:19,SESS_301872,,Personal Care,Mobile App,150,1,0,0,0,0
INT_0000022,CUST_02544,PROD_00609,Cart,2026-05-11 17:14:19,SESS_301872,,Personal Care,Mobile App,29,1,0,1,0,0
INT_0000023,CUST_02544,PROD_00594,View,2026-05-11 17:15:07,SESS_301872,,Personal Care,Mobile App,26,1,0,0,0,0
INT_0000024,CUST_02544,PROD_00594,Cart,2026-05-11 17:15:07,SESS_301872,,Personal Care,Mobile App,60,1,0,1,0,0
INT_0000025,CUST_02544,PROD_00629,View,2026-05-11 17:16:23,SESS_301872,,Personal Care,Mobile App,211,1,0,0,0,0
INT_0000026,CUST_00145,PROD_00280,Search,2026-05-08 05:30:35,SESS_353610,bedding,Home,Mobile Web,53,0,0,0,0,0
INT_0000027,CUST_00145,PROD_00263,View,2026-05-08 05:32:33,SESS_353610,,Home,Mobile Web,79,1,0,0,0,0
INT_0000028,CUST_00145,PROD_00289,View,2026-05-08 05:35:28,SESS_353610,,Home,Mobile Web,84,1,0,0,0,0
INT_0000029,CUST_00145,PROD_00289,Wishlist,2026-05-08 05:35:28,SESS_353610,,Home,Mobile Web,7,1,1,0,0,0
INT_0000030,CUST_02220,PROD_00524,Search,2026-03-18 17:59:35,SESS_738404,accessories,Accessories,Mobile Web,23,0,0,0,0,0
INT_0000031,CUST_02220,PROD_00546,View,2026-03-18 18:01:20,SESS_738404,,Accessories,Mobile Web,20,1,0,0,0,0
INT_0000032,CUST_02220,PROD_00545,View,2026-03-18 18:04:01,SESS_738404,,Accessories,Mobile Web,210,1,0,0,0,0
INT_0000033,CUST_02220,PROD_00545,Wishlist,2026-03-18 18:04:01,SESS_738404,,Accessories,Mobile Web,18,1,1,0,0,0
INT_0000034,CUST_02220,PROD_00545,Cart,2026-03-18 18:04:01,SESS_738404,,Accessories,Mobile Web,58,1,1,1,0,0
INT_0000035,CUST_02220,PROD_00514,View,2026-03-18 18:06:48,SESS_738404,,Accessories,Mobile Web,174,1,0,0,0,0
INT_0000036,CUST_02220,PROD_00514,Cart,2026-03-18 18:06:48,SESS_738404,,Accessories,Mobile Web,46,1,0,1,0,0
INT_0000037,CUST_02220,PROD_00514,Purchase,2026-03-18 18:06:48,SESS_738404,,Accessories,Mobile Web,171,1,0,1,1,0
INT_0000038,CUST_01043,PROD_00100,Search,2026-05-19 06:11:35,SESS_632393,student laptops,Laptops,Mobile App,50,0,0,0,0,0
INT_0000039,CUST_01043,PROD_00109,View,2026-05-19 06:12:39,SESS_632393,,Laptops,Mobile App,161,1,0,0,0,0
INT_0000040,CUST_01043,PROD_00109,Cart,2026-05-19 06:12:39,SESS_632393,,Laptops,Mobile App,54,1,0,1,0,0
INT_0000041,CUST_01043,PROD_00109,Purchase,2026-05-19 06:12:39,SESS_632393,,Laptops,Mobile App,207,1,0,1,1,0
INT_0000042,CUST_01043,PROD_00501,Purchase,2026-05-19 06:12:39,SESS_632393,,Gaming,Mobile App,79,1,0,1,1,0
INT_0000043,CUST_01043,PROD_00124,View,2026-05-19 06:15:11,SESS_632393,,Laptops,Mobile App,235,1,0,0,0,0
INT_0000044,CUST_01043,PROD_00124,Cart,2026-05-19 06:15:11,SESS_632393,,Laptops,Mobile App,74,1,0,1,0,0
INT_0000045,CUST_02479,PROD_00409,Search,2026-06-16 11:23:35,SESS_397144,sports,Sports,Tablet,40,0,0,0,0,0
INT_0000046,CUST_02479,PROD_00381,View,2026-06-16 11:24:36,SESS_397144,,Sports,Tablet,225,1,0,0,0,0
INT_0000047,CUST_02479,PROD_00381,Cart,2026-06-16 11:24:36,SESS_397144,,Sports,Tablet,24,1,0,1,0,0
INT_0000048,CUST_02479,PROD_00395,View,2026-06-16 11:27:36,SESS_397144,,Sports,Tablet,107,1,0,0,0,0
INT_0000049,CUST_02479,PROD_00408,View,2026-06-16 11:30:02,SESS_397144,,Sports,Tablet,74,1,0,0,0,0
INT_0000050,CUST_02989,PROD_00290,Search,2026-06-03 00:55:35,SESS_799360,lighting,Home,Tablet,49,0,0,0,0,0
INT_0000051,CUST_02989,PROD_00282,View,2026-06-03 00:56:32,SESS_799360,,Home,Tablet,137,1,0,0,0,0
INT_0000052,CUST_02989,PROD_00254,View,2026-06-03 00:57:07,SESS_799360,,Home,Tablet,238,1,0,0,0,0
INT_0000053,CUST_02989,PROD_00254,Cart,2026-06-03 00:57:07,SESS_799360,,Home,Tablet,53,1,0,1,0,0
INT_0000054,CUST_02989,PROD_00279,View,2026-06-03 00:57:58,SESS_799360,,Home,Tablet,40,1,0,0,0,0
INT_0000055,CUST_02989,PROD_00279,Wishlist,2026-06-03 00:57:58,SESS_799360,,Home,Tablet,29,1,1,0,0,0
INT_0000056,CUST_02145,PROD_00611,Search,2026-05-16 15:02:35,SESS_934789,shaving & grooming,Personal Care,Desktop,41,0,0,0,0,0
INT_0000057,CUST_02145,PROD_00609,View,2026-05-16 15:03:24,SESS_934789,,Personal Care,Desktop,158,1,0,0,0,0
INT_0000058,CUST_02145,PROD_00589,View,2026-05-16 15:03:59,SESS_934789,,Personal Care,Desktop,195,1,0,0,0,0
INT_0000059,CUST_02145,PROD_00589,Wishlist,2026-05-16 15:03:59,SESS_934789,,Personal Care,Desktop,20,1,1,0,0,0
INT_0000060,CUST_02145,PROD_00630,View,2026-05-16 15:05:35,SESS_934789,,Personal Care,Desktop,164,1,0,0,0,0
INT_0000061,CUST_02145,PROD_00610,View,2026-05-16 15:06:57,SESS_934789,,Personal Care,Desktop,92,1,0,0,0,0
INT_0000062,CUST_01508,PROD_00525,Search,2026-04-28 07:21:35,SESS_703438,bags & backpacks,Accessories,Tablet,16,0,0,0,0,0
INT_0000063,CUST_01508,PROD_00531,View,2026-04-28 07:24:09,SESS_703438,,Accessories,Tablet,107,1,0,0,0,0
INT_0000064,CUST_01508,PROD_00531,Cart,2026-04-28 07:24:09,SESS_703438,,Accessories,Tablet,53,1,0,1,0,0
INT_0000065,CUST_01508,PROD_00541,View,2026-04-28 07:27:02,SESS_703438,,Accessories,Tablet,131,1,0,0,0,0
INT_0000066,CUST_01508,PROD_00541,Wishlist,2026-04-28 07:27:02,SESS_703438,,Accessories,Tablet,27,1,1,0,0,0
INT_0000067,CUST_01508,PROD_00519,View,2026-04-28 07:28:14,SESS_703438,,Accessories,Tablet,104,1,0,0,0,0
INT_0000068,CUST_01508,PROD_00519,Cart,2026-04-28 07:28:14,SESS_703438,,Accessories,Tablet,24,1,0,1,0,0
INT_0000069,CUST_01354,PROD_00116,Search,2026-07-08 00:09:35,SESS_815641,ultrabooks,Laptops,Mobile App,42,0,0,0,0,0
INT_0000070,CUST_01354,PROD_00109,View,2026-07-08 00:12:16,SESS_815641,,Laptops,Mobile App,222,1,0,0,0,0
INT_0000071,CUST_01354,PROD_00109,Wishlist,2026-07-08 00:12:16,SESS_815641,,Laptops,Mobile App,18,1,1,0,0,0
INT_0000072,CUST_01354,PROD_00104,View,2026-07-08 00:13:49,SESS_815641,,Laptops,Mobile App,152,1,0,0,0,0
INT_0000073,CUST_01668,PROD_00351,Search,2026-06-01 11:51:35,SESS_803776,office,Furniture,Mobile App,16,0,0,0,0,0
INT_0000074,CUST_01668,PROD_00338,View,2026-06-01 11:52:25,SESS_803776,,Furniture,Mobile App,237,1,0,0,0,0
INT_0000075,CUST_02368,PROD_00392,Search,2026-06-14 15:40:35,SESS_730280,outdoor sports,Sports,Tablet,15,0,0,0,0,0
INT_0000076,CUST_02368,PROD_00420,View,2026-06-14 15:41:42,SESS_730280,,Sports,Tablet,201,1,0,0,0,0
INT_0000077,CUST_02368,PROD_00411,View,2026-06-14 15:43:48,SESS_730280,,Sports,Tablet,214,1,0,0,0,0
INT_0000078,CUST_02368,PROD_00402,View,2026-06-14 15:45:57,SESS_730280,,Sports,Tablet,103,1,0,0,0,0
INT_0000079,CUST_02368,PROD_00402,Cart,2026-06-14 15:45:57,SESS_730280,,Sports,Tablet,44,1,0,1,0,0
INT_0000080,CUST_00884,PROD_00017,Search,2026-03-17 08:56:35,SESS_418813,wearables,Electronics,Desktop,40,0,0,0,0,0
INT_0000081,CUST_00884,PROD_00016,View,2026-03-17 08:57:23,SESS_418813,,Electronics,Desktop,192,1,0,0,0,0
INT_0000082,CUST_00884,PROD_00016,Cart,2026-03-17 08:57:23,SESS_418813,,Electronics,Desktop,67,1,0,1,0,0
INT_0000083,CUST_00884,PROD_00016,Purchase,2026-03-17 08:57:23,SESS_418813,,Electronics,Desktop,82,1,0,1,1,0
INT_0000084,CUST_00884,PROD_00016,Rating,2026-03-22 08:57:23,SESS_418813,,Electronics,Desktop,86,1,0,1,1,3
INT_0000085,CUST_00884,PROD_00015,View,2026-03-17 08:58:49,SESS_418813,,Electronics,Desktop,234,1,0,0,0,0
INT_0000086,CUST_00884,PROD_00015,Wishlist,2026-03-17 08:58:49,SESS_418813,,Electronics,Desktop,19,1,1,0,0,0
INT_0000087,CUST_00884,PROD_00015,Cart,2026-03-17 08:58:49,SESS_418813,,Electronics,Desktop,65,1,1,1,0,0
INT_0000088,CUST_00884,PROD_00015,Purchase,2026-03-17 08:58:49,SESS_418813,,Electronics,Desktop,104,1,1,1,1,0
INT_0000089,CUST_00884,PROD_00007,View,2026-03-17 08:59:53,SESS_418813,,Electronics,Desktop,119,1,0,0,0,0
INT_0000090,CUST_00884,PROD_00035,View,2026-03-17 09:02:40,SESS_418813,,Electronics,Desktop,100,1,0,0,0,0
INT_0000091,CUST_02271,PROD_00544,Search,2026-05-04 09:30:35,SESS_953244,bags & backpacks,Accessories,Tablet,32,0,0,0,0,0
INT_0000092,CUST_02271,PROD_00546,View,2026-05-04 09:33:13,SESS_953244,,Accessories,Tablet,202,1,0,0,0,0
INT_0000093,CUST_02271,PROD_00520,View,2026-05-04 09:34:31,SESS_953244,,Accessories,Tablet,134,1,0,0,0,0
INT_0000094,CUST_02271,PROD_00523,View,2026-05-04 09:35:08,SESS_953244,,Accessories,Tablet,212,1,0,0,0,0
INT_0000095,CUST_01908,PROD_00086,Search,2026-05-09 08:56:35,SESS_684657,laptops,Laptops,Tablet,45,0,0,0,0,0
INT_0000096,CUST_01908,PROD_00114,View,2026-05-09 08:58:58,SESS_684657,,Laptops,Tablet,109,1,0,0,0,0
INT_0000097,CUST_01908,PROD_00114,Wishlist,2026-05-09 08:58:58,SESS_684657,,Laptops,Tablet,7,1,1,0,0,0
INT_0000098,CUST_01908,PROD_00114,Cart,2026-05-09 08:58:58,SESS_684657,,Laptops,Tablet,80,1,1,1,0,0
INT_0000099,CUST_01908,PROD_00107,View,2026-05-09 09:00:21,SESS_684657,,Laptops,Tablet,35,1,0,0,0,0
INT_0000100,CUST_01908,PROD_00107,Cart,2026-05-09 09:00:21,SESS_684657,,Laptops,Tablet,24,1,0,1,0,0
INT_0000101,CUST_01908,PROD_00090,View,2026-05-09 09:01:02,SESS_684657,,Laptops,Tablet,166,1,0,0,0,0
INT_0000102,CUST_01908,PROD_00104,View,2026-05-09 09:03:16,SESS_684657,,Laptops,Tablet,115,1,0,0,0,0
INT_0000103,CUST_00615,PROD_00610,Search,2026-06-25 09:33:35,SESS_881047,bath & body,Personal Care,Mobile Web,56,0,0,0,0,0
INT_0000104,CUST_00615,PROD_00612,View,2026-06-25 09:34:56,SESS_881047,,Personal Care,Mobile Web,193,1,0,0,0,0
INT_0000105,CUST_00615,PROD_00612,Wishlist,2026-06-25 09:34:56,SESS_881047,,Personal Care,Mobile Web,18,1,1,0,0,0
INT_0000106,CUST_00615,PROD_00604,View,2026-06-25 09:35:34,SESS_881047,,Personal Care,Mobile Web,181,1,0,0,0,0
INT_0000107,CUST_00615,PROD_00610,View,2026-06-25 09:36:07,SESS_881047,,Personal Care,Mobile Web,240,1,0,0,0,0
INT_0000108,CUST_00615,PROD_00610,Cart,2026-06-25 09:36:07,SESS_881047,,Personal Care,Mobile Web,23,1,0,1,0,0
INT_0000109,CUST_00615,PROD_00600,View,2026-06-25 09:39:03,SESS_881047,,Personal Care,Mobile Web,208,1,0,0,0,0
INT_0000110,CUST_00615,PROD_00600,Wishlist,2026-06-25 09:39:03,SESS_881047,,Personal Care,Mobile Web,6,1,1,0,0,0
INT_0000111,CUST_01261,PROD_00501,Search,2026-05-23 15:53:35,SESS_964521,accessories,Gaming,Desktop,47,0,0,0,0,0
INT_0000112,CUST_01261,PROD_00483,View,2026-05-23 15:55:26,SESS_964521,,Gaming,Desktop,148,1,0,0,0,0
INT_0000113,CUST_01261,PROD_00483,Wishlist,2026-05-23 15:55:26,SESS_964521,,Gaming,Desktop,19,1,1,0,0,0
INT_0000114,CUST_01261,PROD_00468,View,2026-05-23 15:57:06,SESS_964521,,Gaming,Desktop,122,1,0,0,0,0
INT_0000115,CUST_01261,PROD_00468,Cart,2026-05-23 15:57:06,SESS_964521,,Gaming,Desktop,59,1,0,1,0,0
INT_0000116,CUST_01261,PROD_00468,Purchase,2026-05-23 15:57:06,SESS_964521,,Gaming,Desktop,296,1,0,1,1,0
INT_0000117,CUST_01261,PROD_00468,Rating,2026-05-28 15:57:06,SESS_964521,,Gaming,Desktop,62,1,0,1,1,3
INT_0000118,CUST_01261,PROD_00498,View,2026-05-23 15:59:40,SESS_964521,,Gaming,Desktop,191,1,0,0,0,0
INT_0000119,CUST_01261,PROD_00498,Wishlist,2026-05-23 15:59:40,SESS_964521,,Gaming,Desktop,28,1,1,0,0,0
INT_0000120,CUST_01261,PROD_00469,View,2026-05-23 16:02:39,SESS_964521,,Gaming,Desktop,125,1,0,0,0,0
INT_0000121,CUST_01571,PROD_00486,Search,2026-04-03 18:00:35,SESS_842569,gaming,Gaming,Mobile Web,40,0,0,0,0,0
INT_0000122,CUST_01571,PROD_00501,View,2026-04-03 18:01:09,SESS_842569,,Gaming,Mobile Web,154,1,0,0,0,0
INT_0000123,CUST_01571,PROD_00501,Cart,2026-04-03 18:01:09,SESS_842569,,Gaming,Mobile Web,41,1,0,1,0,0
INT_0000124,CUST_01571,PROD_00500,View,2026-04-03 18:02:38,SESS_842569,,Gaming,Mobile Web,20,1,0,0,0,0
INT_0000125,CUST_01571,PROD_00486,View,2026-04-03 18:03:55,SESS_842569,,Gaming,Mobile Web,147,1,0,0,0,0
INT_0000126,CUST_01571,PROD_00486,Cart,2026-04-03 18:03:55,SESS_842569,,Gaming,Mobile Web,22,1,0,1,0,0
INT_0000127,CUST_01571,PROD_00486,Purchase,2026-04-03 18:03:55,SESS_842569,,Gaming,Mobile Web,234,1,0,1,1,0
INT_0000128,CUST_01571,PROD_00486,Rating,2026-04-06 18:03:55,SESS_842569,,Gaming,Mobile Web,88,1,0,1,1,5
INT_0000129,CUST_00638,PROD_00035,Search,2026-08-24 06:26:35,SESS_365684,electronics,Electronics,Mobile App,39,0,0,0,0,0
INT_0000130,CUST_00638,PROD_00003,View,2026-08-24 06:28:07,SESS_365684,,Electronics,Mobile App,74,1,0,0,0,0
INT_0000131,CUST_00638,PROD_00020,View,2026-08-24 06:29:41,SESS_365684,,Electronics,Mobile App,136,1,0,0,0,0
INT_0000132,CUST_00638,PROD_00032,View,2026-08-24 06:30:53,SESS_365684,,Electronics,Mobile App,86,1,0,0,0,0
INT_0000133,CUST_00638,PROD_00029,View,2026-08-24 06:31:55,SESS_365684,,Electronics,Mobile App,20,1,0,0,0,0
INT_0000134,CUST_00638,PROD_00029,Wishlist,2026-08-24 06:31:55,SESS_365684,,Electronics,Mobile App,24,1,1,0,0,0
INT_0000135,CUST_00638,PROD_00029,Cart,2026-08-24 06:31:55,SESS_365684,,Electronics,Mobile App,33,1,1,1,0,0
INT_0000136,CUST_00638,PROD_00029,Purchase,2026-08-24 06:31:55,SESS_365684,,Electronics,Mobile App,283,1,1,1,1,0
INT_0000137,CUST_02958,PROD_00510,Search,2026-05-01 02:08:35,SESS_921130,bags & backpacks,Accessories,Mobile Web,49,0,0,0,0,0
INT_0000138,CUST_02958,PROD_00531,View,2026-05-01 02:10:22,SESS_921130,,Accessories,Mobile Web,44,1,0,0,0,0
INT_0000139,CUST_02958,PROD_00531,Wishlist,2026-05-01 02:10:22,SESS_921130,,Accessories,Mobile Web,11,1,1,0,0,0
INT_0000140,CUST_02958,PROD_00524,View,2026-05-01 02:11:11,SESS_921130,,Accessories,Mobile Web,149,1,0,0,0,0
INT_0000141,CUST_02958,PROD_00524,Cart,2026-05-01 02:11:11,SESS_921130,,Accessories,Mobile Web,65,1,0,1,0,0
INT_0000142,CUST_02958,PROD_00524,Purchase,2026-05-01 02:11:11,SESS_921130,,Accessories,Mobile Web,290,1,0,1,1,0
INT_0000143,CUST_02958,PROD_00536,View,2026-05-01 02:13:28,SESS_921130,,Accessories,Mobile Web,217,1,0,0,0,0
INT_0000144,CUST_02958,PROD_00535,View,2026-05-01 02:15:27,SESS_921130,,Accessories,Mobile Web,73,1,0,0,0,0
INT_0000145,CUST_02204,PROD_00165,Search,2026-07-26 18:52:35,SESS_768672,men's clothing,Fashion,Desktop,35,0,0,0,0,0
INT_0000146,CUST_02204,PROD_00166,View,2026-07-26 18:55:18,SESS_768672,,Fashion,Desktop,97,1,0,0,0,0
INT_0000147,CUST_02204,PROD_00130,View,2026-07-26 18:56:07,SESS_768672,,Fashion,Desktop,63,1,0,0,0,0
INT_0000148,CUST_02204,PROD_00163,View,2026-07-26 18:58:13,SESS_768672,,Fashion,Desktop,104,1,0,0,0,0
INT_0000149,CUST_00454,PROD_00392,Search,2026-06-10 21:21:35,SESS_583095,fitness equipment,Sports,Tablet,21,0,0,0,0,0
INT_0000150,CUST_00454,PROD_00398,View,2026-06-10 21:24:31,SESS_583095,,Sports,Tablet,43,1,0,0,0,0
INT_0000151,CUST_00454,PROD_00413,View,2026-06-10 21:25:11,SESS_583095,,Sports,Tablet,207,1,0,0,0,0
INT_0000152,CUST_00454,PROD_00413,Wishlist,2026-06-10 21:25:11,SESS_583095,,Sports,Tablet,11,1,1,0,0,0
INT_0000153,CUST_00267,PROD_00180,Search,2026-07-21 09:42:35,SESS_503889,running shoes,Footwear,Desktop,34,0,0,0,0,0
INT_0000154,CUST_00267,PROD_00175,View,2026-07-21 09:44:39,SESS_503889,,Footwear,Desktop,167,1,0,0,0,0
INT_0000155,CUST_00267,PROD_00207,View,2026-07-21 09:45:22,SESS_503889,,Footwear,Desktop,235,1,0,0,0,0
INT_0000156,CUST_00711,PROD_00145,Search,2026-06-19 13:16:35,SESS_640027,fashion,Fashion,Mobile App,20,0,0,0,0,0
INT_0000157,CUST_00711,PROD_00145,View,2026-06-19 13:18:47,SESS_640027,,Fashion,Mobile App,42,1,0,0,0,0
INT_0000158,CUST_00711,PROD_00145,Wishlist,2026-06-19 13:18:47,SESS_640027,,Fashion,Mobile App,7,1,1,0,0,0
INT_0000159,CUST_00711,PROD_00145,Cart,2026-06-19 13:18:47,SESS_640027,,Fashion,Mobile App,65,1,1,1,0,0
INT_0000160,CUST_00711,PROD_00145,Purchase,2026-06-19 13:18:47,SESS_640027,,Fashion,Mobile App,142,1,1,1,1,0
INT_0000161,CUST_00711,PROD_00145,Rating,2026-06-23 13:18:47,SESS_640027,,Fashion,Mobile App,48,1,1,1,1,4
INT_0000162,CUST_00043,PROD_00508,Search,2026-04-24 15:32:35,SESS_562370,accessories,Accessories,Tablet,54,0,0,0,0,0
INT_0000163,CUST_00043,PROD_00528,View,2026-04-24 15:34:25,SESS_562370,,Accessories,Tablet,101,1,0,0,0,0
INT_0000164,CUST_00043,PROD_00544,View,2026-04-24 15:36:45,SESS_562370,,Accessories,Tablet,80,1,0,0,0,0
INT_0000165,CUST_00043,PROD_00544,Cart,2026-04-24 15:36:45,SESS_562370,,Accessories,Tablet,58,1,0,1,0,0
INT_0000166,CUST_00043,PROD_00544,Purchase,2026-04-24 15:36:45,SESS_562370,,Accessories,Tablet,212,1,0,1,1,0
INT_0000167,CUST_00043,PROD_00540,View,2026-04-24 15:37:51,SESS_562370,,Accessories,Tablet,124,1,0,0,0,0
INT_0000168,CUST_00043,PROD_00524,View,2026-04-24 15:39:29,SESS_562370,,Accessories,Tablet,107,1,0,0,0,0
INT_0000169,CUST_00043,PROD_00524,Wishlist,2026-04-24 15:39:29,SESS_562370,,Accessories,Tablet,18,1,1,0,0,0
INT_0000170,CUST_00043,PROD_00524,Cart,2026-04-24 15:39:29,SESS_562370,,Accessories,Tablet,30,1,1,1,0,0
INT_0000171,CUST_00422,PROD_00460,Search,2026-08-11 18:50:35,SESS_539721,technology,Books,Mobile App,20,0,0,0,0,0
INT_0000172,CUST_00422,PROD_00424,View,2026-08-11 18:53:19,SESS_539721,,Books,Mobile App,182,1,0,0,0,0
INT_0000173,CUST_00422,PROD_00424,Wishlist,2026-08-11 18:53:19,SESS_539721,,Books,Mobile App,26,1,1,0,0,0
INT_0000174,CUST_00422,PROD_00424,Cart,2026-08-11 18:53:19,SESS_539721,,Books,Mobile App,35,1,1,1,0,0
INT_0000175,CUST_00422,PROD_00424,Purchase,2026-08-11 18:53:19,SESS_539721,,Books,Mobile App,271,1,1,1,1,0
INT_0000176,CUST_00516,PROD_00236,Search,2026-08-16 20:56:35,SESS_820386,makeup,Beauty,Mobile Web,25,0,0,0,0,0
INT_0000177,CUST_00516,PROD_00250,View,2026-08-16 20:57:12,SESS_820386,,Beauty,Mobile Web,155,1,0,0,0,0
INT_0000178,CUST_00516,PROD_00250,Wishlist,2026-08-16 20:57:12,SESS_820386,,Beauty,Mobile Web,13,1,1,0,0,0
INT_0000179,CUST_00516,PROD_00247,View,2026-08-16 20:58:04,SESS_820386,,Beauty,Mobile Web,210,1,0,0,0,0
INT_0000180,CUST_00516,PROD_00247,Wishlist,2026-08-16 20:58:04,SESS_820386,,Beauty,Mobile Web,16,1,1,0,0,0
INT_0000181,CUST_00516,PROD_00235,View,2026-08-16 20:59:09,SESS_820386,,Beauty,Mobile Web,189,1,0,0,0,0
INT_0000182,CUST_00516,PROD_00220,View,2026-08-16 21:01:09,SESS_820386,,Beauty,Mobile Web,146,1,0,0,0,0
INT_0000183,CUST_00516,PROD_00220,Wishlist,2026-08-16 21:01:09,SESS_820386,,Beauty,Mobile Web,9,1,1,0,0,0
INT_0000184,CUST_01868,PROD_00630,Search,2026-07-18 13:09:35,SESS_837630,personal,Personal Care,Mobile App,57,0,0,0,0,0
INT_0000185,CUST_01868,PROD_00606,View,2026-07-18 13:12:11,SESS_837630,,Personal Care,Mobile App,208,1,0,0,0,0
INT_0000186,CUST_01868,PROD_00606,Wishlist,2026-07-18 13:12:11,SESS_837630,,Personal Care,Mobile App,30,1,1,0,0,0
INT_0000187,CUST_01868,PROD_00606,Cart,2026-07-18 13:12:11,SESS_837630,,Personal Care,Mobile App,79,1,1,1,0,0
INT_0000188,CUST_01868,PROD_00624,View,2026-07-18 13:13:18,SESS_837630,,Personal Care,Mobile App,176,1,0,0,0,0
INT_0000189,CUST_01868,PROD_00624,Cart,2026-07-18 13:13:18,SESS_837630,,Personal Care,Mobile App,43,1,0,1,0,0
INT_0000190,CUST_01868,PROD_00610,View,2026-07-18 13:13:59,SESS_837630,,Personal Care,Mobile App,104,1,0,0,0,0
INT_0000191,CUST_01868,PROD_00628,View,2026-07-18 13:14:34,SESS_837630,,Personal Care,Mobile App,200,1,0,0,0,0
INT_0000192,CUST_02114,PROD_00474,Search,2026-06-02 17:03:35,SESS_116709,gaming,Gaming,Tablet,26,0,0,0,0,0
INT_0000193,CUST_02114,PROD_00463,View,2026-06-02 17:05:21,SESS_116709,,Gaming,Tablet,142,1,0,0,0,0
INT_0000194,CUST_02114,PROD_00489,View,2026-06-02 17:07:33,SESS_116709,,Gaming,Tablet,197,1,0,0,0,0
INT_0000195,CUST_02114,PROD_00485,View,2026-06-02 17:08:13,SESS_116709,,Gaming,Tablet,203,1,0,0,0,0
INT_0000196,CUST_02114,PROD_00485,Cart,2026-06-02 17:08:13,SESS_116709,,Gaming,Tablet,30,1,0,1,0,0
INT_0000197,CUST_02985,PROD_00175,Search,2026-05-29 19:04:35,SESS_556813,footwear,Footwear,Desktop,39,0,0,0,0,0
INT_0000198,CUST_02985,PROD_00209,View,2026-05-29 19:05:39,SESS_556813,,Footwear,Desktop,76,1,0,0,0,0
INT_0000199,CUST_02985,PROD_00191,View,2026-05-29 19:08:19,SESS_556813,,Footwear,Desktop,150,1,0,0,0,0
INT_0000200,CUST_02985,PROD_00196,View,2026-05-29 19:10:17,SESS_556813,,Footwear,Desktop,128,1,0,0,0,0
INT_0000201,CUST_02513,PROD_00153,Search,2026-07-17 05:15:35,SESS_177666,fashion,Fashion,Mobile Web,56,0,0,0,0,0
