Product_ID,Product_Name,Category,Subcategory,Brand,Price,Discount,Final_Price,Rating,Review_Count,Stock,Popularity_Score,Product_Description,Product_Tags,Age_Group,Gender_Target,Color,Size,Created_Date,Image_URL,Status
PROD_00013,Sennheiser Compact Bluetooth Speaker,Electronics,Audio,Sennheiser,26050.0,5,24747.5,3.6,336,129,57.6,Portable waterproof outdoor bluetooth speaker. Designed with premium quality materials by Sennheiser.,"speaker,portable,waterproof,audio,bluetooth,sennheiser,electronics,crimson red",All Ages,All,Crimson Red,128GB,2025-03-02,https://images.unsplash.com/photo-1500000000013?auto=format&fit=crop&w=600&q=80,Active
PROD_00014,JBL Smart Fitness Watch,Electronics,Wearables,JBL,39410.0,30,27587.0,4.9,57,242,56.7,AMOLED fitness tracker with heart rate and SpO2 monitor. Designed with premium quality materials by JBL.,"smartwatch,fitness,heartrate,wearable,tracker,jbl,electronics,charcoal",18-35,All,Charcoal,16GB RAM,2024-09-22,https://images.unsplash.com/photo-1500000000014?auto=format&fit=crop&w=600&q=80,Active
PROD_00015,LG 4K Ultra HD Smart TV 55-inch - Olive Green,Electronics,Television,LG,23870.0,5,22676.5,3.8,51,21,43.4,Vibrant Dolby Vision smart display with voice assistant. Designed with premium quality materials by LG.,"tv,smart tv,4k,ultra hd,television,display,lg,electronics,olive green",25-50,All,Olive Green,Standard,2025-01-04,https://images.unsplash.com/photo-1500000000015?auto=format&fit=crop&w=600&q=80,Active
PROD_00016,Samsung Action Camera 4K Waterproof,Electronics,Cameras,Samsung,28840.0,15,24514.0,3.6,51,13,46.6,Rugged 4K 60fps action cam with dual screens. Designed with premium quality materials by Samsung.,"action camera,waterproof,4k,sports,vlog,samsung,electronics,classic beige",All Ages,All,Classic Beige,128GB,2026-06-18,https://images.unsplash.com/photo-1500000000016?auto=format&fit=crop&w=600&q=80,Active
PROD_00017,Samsung Action Camera 4K Waterproof,Electronics,Cameras,Samsung,7000.0,50,3500.0,4.3,80,67,54.0,Rugged 4K 60fps action cam with dual screens. Designed with premium quality materials by Samsung.,"action camera,waterproof,4k,sports,vlog,samsung,electronics,crimson red",Teens & Youth,All,Crimson Red,Standard,2025-07-09,https://images.unsplash.com/photo-1500000000017?auto=format&fit=crop&w=600&q=80,Active
PROD_00018,Bose 4K Ultra HD Smart TV 55-inch,Electronics,Television,Bose,19210.0,0,19210.0,4.4,148,170,50.9,Vibrant Dolby Vision smart display with voice assistant. Designed with premium quality materials by Bose.,"tv,smart tv,4k,ultra hd,television,display,bose,electronics,space gray",Teens & Youth,All,Space Gray,Standard,2025-07-13,https://images.unsplash.com/photo-1500000000018?auto=format&fit=crop&w=600&q=80,Active
PROD_00019,Bose Digital Mirrorless Camera - Navy Blue,Electronics,Cameras,Bose,7340.0,10,6606.0,3.9,116,68,52.4,4K video recording with 24MP sensor and interchangeable lens. Designed with premium quality materials by Bose.,"camera,photography,4k,video,lens,bose,electronics,navy blue",18-35,All,Navy Blue,128GB,2026-06-13,https://images.unsplash.com/photo-1500000000019?auto=format&fit=crop&w=600&q=80,Active
PROD_00020,Bose Bass Soundbar with Subwoofer - Midnight Black,Electronics,Audio,Bose,43640.0,15,37094.0,3.7,76,129,44.9,2.1 channel cinematic soundbar for home theatre experience. Designed with premium quality materials by Bose.,"soundbar,audio,speaker,home theatre,subwoofer,bose,electronics,midnight black",Adults,All,Midnight Black,Standard,2025-07-15,https://images.unsplash.com/photo-1500000000020?auto=format&fit=crop&w=600&q=80,Active
PROD_00021,JBL Wireless Bluetooth Headphones,Electronics,Audio,JBL,35540.0,35,23101.0,3.9,185,183,56.0,Over-ear noise cancelling headphones with deep bass. Designed with premium quality materials by JBL.,"wireless,bluetooth,audio,headphones,anc,jbl,electronics,olive green",Teens & Youth,All,Olive Green,Default,2025-02-06,https://images.unsplash.com/photo-1500000000021?auto=format&fit=crop&w=600&q=80,Active
PROD_00022,JBL Bass Soundbar with Subwoofer - Navy Blue,Electronics,Audio,JBL,26570.0,40,15942.0,3.6,42,85,38.3,2.1 channel cinematic soundbar for home theatre experience. Designed with premium quality materials by JBL.,"soundbar,audio,speaker,home theatre,subwoofer,jbl,electronics,navy blue",18-35,All,Navy Blue,256GB,2025-01-08,https://images.unsplash.com/photo-1500000000022?auto=format&fit=crop&w=600&q=80,Active
PROD_00023,JBL Bass Soundbar with Subwoofer - Midnight Black,Electronics,Audio,JBL,4200.0,5,3990.0,4.4,77,65,51.1,2.1 channel cinematic soundbar for home theatre experience. Designed with premium quality materials by JBL.,"soundbar,audio,speaker,home theatre,subwoofer,jbl,electronics,midnight black",All Ages,All,Midnight Black,16GB RAM,2025-01-23,https://images.unsplash.com/photo-1500000000023?auto=format&fit=crop&w=600&q=80,Active
PROD_00024,Sony 4K Ultra HD Smart TV 55-inch - Classic Beige,Electronics,Television,Sony,25960.0,25,19470.0,4.8,97,57,58.6,Vibrant Dolby Vision smart display with voice assistant. Designed with premium quality materials by Sony.,"tv,smart tv,4k,ultra hd,television,display,sony,electronics,classic beige",Teens & Youth,All,Classic Beige,Default,2025-10-12,https://images.unsplash.com/photo-1500000000024?auto=format&fit=crop&w=600&q=80,Active
PROD_00025,LG 4K Ultra HD Smart TV 55-inch - Olive Green,Electronics,Television,LG,41890.0,5,39795.5,3.5,124,164,49.9,Vibrant Dolby Vision smart display with voice assistant. Designed with premium quality materials by LG.,"tv,smart tv,4k,ultra hd,television,display,lg,electronics,olive green",25-50,All,Olive Green,128GB,2026-05-19,https://images.unsplash.com/photo-1500000000025?auto=format&fit=crop&w=600&q=80,Active
PROD_00026,Samsung Compact Bluetooth Speaker - Rose Gold,Electronics,Audio,Samsung,39780.0,15,33813.0,4.0,291,45,56.0,Portable waterproof outdoor bluetooth speaker. Designed with premium quality materials by Samsung.,"speaker,portable,waterproof,audio,bluetooth,samsung,electronics,rose gold",18-35,All,Rose Gold,256GB,2025-02-19,https://images.unsplash.com/photo-1500000000026?auto=format&fit=crop&w=600&q=80,Active
PROD_00027,Sony Noise Cancelling Wireless Earbuds - Rose Gold,Electronics,Audio,Sony,7080.0,5,6726.0,4.7,55,195,54.7,True wireless earbuds with active noise cancellation and low latency. Designed with premium quality materials by Sony.,"earbuds,tws,wireless,bluetooth,audio,anc,sony,electronics,rose gold",All Ages,All,Rose Gold,256GB,2025-11-24,https://images.unsplash.com/photo-1500000000027?auto=format&fit=crop&w=600&q=80,Active
PROD_00028,Samsung Noise Cancelling Wireless Earbuds - Silver,Electronics,Audio,Samsung,12200.0,0,12200.0,3.6,144,113,50.1,True wireless earbuds with active noise cancellation and low latency. Designed with premium quality materials by Samsung.,"earbuds,tws,wireless,bluetooth,audio,anc,samsung,electronics,silver",25-50,All,Silver,128GB,2026-07-15,https://images.unsplash.com/photo-1500000000028?auto=format&fit=crop&w=600&q=80,Active
PROD_00029,Sennheiser Wireless Bluetooth Headphones,Electronics,Audio,Sennheiser,20550.0,30,14385.0,4.3,176,33,50.8,Over-ear noise cancelling headphones with deep bass. Designed with premium quality materials by Sennheiser.,"wireless,bluetooth,audio,headphones,anc,sennheiser,electronics,pearl white",25-50,All,Pearl White,Standard,2024-09-21,https://images.unsplash.com/photo-1500000000029?auto=format&fit=crop&w=600&q=80,Active
PROD_00030,Sony Smart Fitness Watch,Electronics,Wearables,Sony,6780.0,20,5424.0,4.0,23,243,48.9,AMOLED fitness tracker with heart rate and SpO2 monitor. Designed with premium quality materials by Sony.,"smartwatch,fitness,heartrate,wearable,tracker,sony,electronics,silver",Adults,All,Silver,16GB RAM,2026-07-20,https://images.unsplash.com/photo-1500000000030?auto=format&fit=crop&w=600&q=80,Active
PROD_00031,Samsung Digital Mirrorless Camera,Electronics,Cameras,Samsung,25720.0,30,18004.0,4.9,183,196,57.9,4K video recording with 24MP sensor and interchangeable lens. Designed with premium quality materials by Samsung.,"camera,photography,4k,video,lens,samsung,electronics,navy blue",All Ages,All,Navy Blue,Standard,2025-12-30,https://images.unsplash.com/photo-1500000000031?auto=format&fit=crop&w=600&q=80,Active
PROD_00032,JBL Smart Fitness Watch - Olive Green,Electronics,Wearables,JBL,15750.0,30,11025.0,4.6,48,226,55.3,AMOLED fitness tracker with heart rate and SpO2 monitor. Designed with premium quality materials by JBL.,"smartwatch,fitness,heartrate,wearable,tracker,jbl,electronics,olive green",18-35,All,Olive Green,Default,2025-12-18,https://images.unsplash.com/photo-1500000000032?auto=format&fit=crop&w=600&q=80,Active
PROD_00033,JBL Noise Cancelling Wireless Earbuds - Space Gray,Electronics,Audio,JBL,10940.0,35,7111.0,4.0,27,215,49.0,True wireless earbuds with active noise cancellation and low latency. Designed with premium quality materials by JBL.,"earbuds,tws,wireless,bluetooth,audio,anc,jbl,electronics,space gray",All Ages,All,Space Gray,512GB,2026-01-08,https://images.unsplash.com/photo-1500000000033?auto=format&fit=crop&w=600&q=80,Active
PROD_00034,Sony 4K Ultra HD Smart TV 55-inch,Electronics,Television,Sony,4240.0,20,3392.0,4.0,550,135,66.0,Vibrant Dolby Vision smart display with voice assistant. Designed with premium quality materials by Sony.,"tv,smart tv,4k,ultra hd,television,display,sony,electronics,navy blue",25-50,All,Navy Blue,512GB,2025-02-26,https://images.unsplash.com/photo-1500000000034?auto=format&fit=crop&w=600&q=80,Active
PROD_00035,Sony Digital Mirrorless Camera - Space Gray,Electronics,Cameras,Sony,44280.0,0,44280.0,3.7,621,116,65.3,4K video recording with 24MP sensor and interchangeable lens. Designed with premium quality materials by Sony.,"camera,photography,4k,video,lens,sony,electronics,space gray",18-35,All,Space Gray,256GB,2025-10-12,https://images.unsplash.com/photo-1500000000035?auto=format&fit=crop&w=600&q=80,Active
PROD_00036,Bose Smart Home Voice Hub,Electronics,Smart Devices,Bose,32240.0,0,32240.0,4.2,312,211,59.9,Voice-controlled assistant for automated home appliances. Designed with premium quality materials by Bose.,"smart home,voice assistant,hub,iot,bose,electronics,olive green",18-35,All,Olive Green,16GB RAM,2024-10-12,https://images.unsplash.com/photo-1500000000036?auto=format&fit=crop&w=600&q=80,Active
PROD_00037,Sennheiser 4K Ultra HD Smart TV 55-inch - Olive Green,Electronics,Television,Sennheiser,30260.0,5,28747.0,4.5,80,81,53.3,Vibrant Dolby Vision smart display with voice assistant. Designed with premium quality materials by Sennheiser.,"tv,smart tv,4k,ultra hd,television,display,sennheiser,electronics,olive green",25-50,All,Olive Green,Default,2024-10-16,https://images.unsplash.com/photo-1500000000037?auto=format&fit=crop&w=600&q=80,Active
PROD_00038,Sennheiser Smart Home Voice Hub - Olive Green,Electronics,Smart Devices,Sennheiser,9600.0,30,6720.0,4.4,33,236,47.1,Voice-controlled assistant for automated home appliances. Designed with premium quality materials by Sennheiser.,"smart home,voice assistant,hub,iot,sennheiser,electronics,olive green",25-50,All,Olive Green,Standard,2025-01-24,https://images.unsplash.com/photo-1500000000038?auto=format&fit=crop&w=600&q=80,Active
PROD_00039,Boat Noise Cancelling Wireless Earbuds,Electronics,Audio,Boat,20030.0,50,10015.0,4.3,222,87,56.5,True wireless earbuds with active noise cancellation and low latency. Designed with premium quality materials by Boat.,"earbuds,tws,wireless,bluetooth,audio,anc,boat,electronics,rose gold",25-50,All,Rose Gold,Default,2025-06-03,https://images.unsplash.com/photo-1500000000039?auto=format&fit=crop&w=600&q=80,Active
PROD_00040,Noise 4K Ultra HD Smart TV 55-inch,Electronics,Television,Noise,30280.0,50,15140.0,4.0,119,214,54.3,Vibrant Dolby Vision smart display with voice assistant. Designed with premium quality materials by Noise.,"tv,smart tv,4k,ultra hd,television,display,noise,electronics,pearl white",All Ages,All,Pearl White,Standard,2026-01-01,https://images.unsplash.com/photo-1500000000040?auto=format&fit=crop&w=600&q=80,Active
PROD_00041,Samsung Noise Cancelling Wireless Earbuds,Electronics,Audio,Samsung,44300.0,50,22150.0,4.7,38,23,53.1,True wireless earbuds with active noise cancellation and low latency. Designed with premium quality materials by Samsung.,"earbuds,tws,wireless,bluetooth,audio,anc,samsung,electronics,navy blue",All Ages,All,Navy Blue,128GB,2024-11-23,https://images.unsplash.com/photo-1500000000041?auto=format&fit=crop&w=600&q=80,Active
PROD_00042,Samsung Smart Wi-Fi Security Camera,Electronics,Smart Devices,Samsung,29940.0,0,29940.0,4.7,138,225,60.2,1080p full color night vision security camera with motion alert. Designed with premium quality materials by Samsung.,"security camera,cctv,smart home,wifi,samsung,electronics,olive green",Teens & Youth,All,Olive Green,512GB,2026-05-12,https://images.unsplash.com/photo-1500000000042?auto=format&fit=crop&w=600&q=80,Active
PROD_00043,Samsung Battery King Phone 6000mAh - Pearl White,Mobiles,Budget,Samsung,73220.0,5,69559.0,4.1,21,210,46.5,Long-lasting dual SIM smartphone with expandable memory. Designed with premium quality materials by Samsung.,"mobile,budget,long battery,smartphone,samsung,mobiles,pearl white",Adults,All,Pearl White,Standard,2025-03-04,https://images.unsplash.com/photo-1500000000043?auto=format&fit=crop&w=600&q=80,Active
PROD_00044,Google Pure Android Experience 5G - Silver,Mobiles,Mid-Range,Google,112370.0,30,78659.0,4.7,447,145,69.3,Clean software with best-in-class computational photography. Designed with premium quality materials by Google.,"google,android,camera phone,5g,google,mobiles,silver",Adults,All,Silver,512GB,2026-03-20,https://images.unsplash.com/photo-1500000000044?auto=format&fit=crop&w=600&q=80,Active
PROD_00045,Motorola Sleek Curve Screen 5G Phone - Charcoal,Mobiles,Mid-Range,Motorola,106260.0,20,85008.0,4.6,68,138,53.6,Ultra slim 3D curved display with 50MP portrait selfie. Designed with premium quality materials by Motorola.,"smartphone,curved display,selfie,5g,motorola,mobiles,charcoal",25-50,All,Charcoal,512GB,2025-12-28,https://images.unsplash.com/photo-1500000000045?auto=format&fit=crop&w=600&q=80,Active
PROD_00046,Xiaomi Smooth Display Mid-Range 5G,Mobiles,Mid-Range,Xiaomi,47290.0,40,28374.0,3.6,210,43,46.7,120Hz AMOLED 64MP OIS camera with 67W fast charging. Designed with premium quality materials by Xiaomi.,"mobile,5g,smartphone,amoled,fastcharge,xiaomi,mobiles,space gray",25-50,All,Space Gray,Standard,2024-09-18,https://images.unsplash.com/photo-1500000000046?auto=format&fit=crop&w=600&q=80,Active
PROD_00047,Realme NextGen Smartphone Pro Max - Navy Blue,Mobiles,Flagship,Realme,71490.0,30,50043.0,3.6,82,218,43.5,Titanium frame with OLED Super Retina display and A17 Pro. Designed with premium quality materials by Realme.,"smartphone,ios,apple,flagship,premium,realme,mobiles,navy blue",Teens & Youth,All,Navy Blue,Default,2025-01-08,https://images.unsplash.com/photo-1500000000047?auto=format&fit=crop&w=600&q=80,Active
PROD_00048,Apple Sleek Curve Screen 5G Phone,Mobiles,Mid-Range,Apple,49160.0,30,34412.0,4.7,147,249,61.2,Ultra slim 3D curved display with 50MP portrait selfie. Designed with premium quality materials by Apple.,"smartphone,curved display,selfie,5g,apple,mobiles,classic beige",Teens & Youth,All,Classic Beige,512GB,2025-02-24,https://images.unsplash.com/photo-1500000000048?auto=format&fit=crop&w=600&q=80,Active
PROD_00049,Realme Sleek Curve Screen 5G Phone - Rose Gold,Mobiles,Mid-Range,Realme,39930.0,35,25954.5,3.5,157,91,48.0,Ultra slim 3D curved display with 50MP portrait selfie. Designed with premium quality materials by Realme.,"smartphone,curved display,selfie,5g,realme,mobiles,rose gold",18-35,All,Rose Gold,16GB RAM,2025-07-11,https://images.unsplash.com/photo-1500000000049?auto=format&fit=crop&w=600&q=80,Active
PROD_00050,Samsung Sleek Curve Screen 5G Phone - Charcoal,Mobiles,Mid-Range,Samsung,114110.0,50,57055.0,4.3,51,11,45.9,Ultra slim 3D curved display with 50MP portrait selfie. Designed with premium quality materials by Samsung.,"smartphone,curved display,selfie,5g,samsung,mobiles,charcoal",Adults,All,Charcoal,128GB,2025-06-17,https://images.unsplash.com/photo-1500000000050?auto=format&fit=crop&w=600&q=80,Active
PROD_00051,Motorola NextGen Smartphone Pro Max,Mobiles,Flagship,Motorola,46300.0,35,30095.0,4.0,643,199,74.5,Titanium frame with OLED Super Retina display and A17 Pro. Designed with premium quality materials by Motorola.,"smartphone,ios,apple,flagship,premium,motorola,mobiles,charcoal",All Ages,All,Charcoal,128GB,2025-11-18,https://images.unsplash.com/photo-1500000000051?auto=format&fit=crop&w=600&q=80,Active
PROD_00052,OnePlus Battery King Phone 6000mAh - Space Gray,Mobiles,Budget,OnePlus,14090.0,25,10567.5,3.8,283,22,57.1,Long-lasting dual SIM smartphone with expandable memory. Designed with premium quality materials by OnePlus.,"mobile,budget,long battery,smartphone,oneplus,mobiles,space gray",All Ages,All,Space Gray,512GB,2024-10-31,https://images.unsplash.com/photo-1500000000052?auto=format&fit=crop&w=600&q=80,Active
PROD_00053,Motorola Smartphone Ultra 5G - Midnight Black,Mobiles,Flagship,Motorola,80700.0,15,68595.0,3.7,519,176,58.9,Snapdragon 8 Gen 3 flagship with 200MP camera system. Designed with premium quality materials by Motorola.,"smartphone,mobile,5g,flagship,android,motorola,mobiles,midnight black",18-35,All,Midnight Black,128GB,2026-01-18,https://images.unsplash.com/photo-1500000000053?auto=format&fit=crop&w=600&q=80,Active
PROD_00054,Realme Battery King Phone 6000mAh - Crimson Red,Mobiles,Budget,Realme,120760.0,5,114722.0,4.6,420,46,72.4,Long-lasting dual SIM smartphone with expandable memory. Designed with premium quality materials by Realme.,"mobile,budget,long battery,smartphone,realme,mobiles,crimson red",18-35,All,Crimson Red,256GB,2026-05-11,https://images.unsplash.com/photo-1500000000054?auto=format&fit=crop&w=600&q=80,Active
PROD_00055,Apple Pure Android Experience 5G,Mobiles,Mid-Range,Apple,91660.0,5,87077.0,4.3,178,217,56.4,Clean software with best-in-class computational photography. Designed with premium quality materials by Apple.,"google,android,camera phone,5g,apple,mobiles,crimson red",Teens & Youth,All,Crimson Red,16GB RAM,2026-05-17,https://images.unsplash.com/photo-1500000000055?auto=format&fit=crop&w=600&q=80,Active
PROD_00056,Motorola Sleek Curve Screen 5G Phone - Crimson Red,Mobiles,Mid-Range,Motorola,101160.0,50,50580.0,4.6,473,93,70.2,Ultra slim 3D curved display with 50MP portrait selfie. Designed with premium quality materials by Motorola.,"smartphone,curved display,selfie,5g,motorola,mobiles,crimson red",Adults,All,Crimson Red,Standard,2024-10-21,https://images.unsplash.com/photo-1500000000056?auto=format&fit=crop&w=600&q=80,Active
PROD_00057,Apple Smooth Display Mid-Range 5G,Mobiles,Mid-Range,Apple,57150.0,35,37147.5,3.6,31,250,40.9,120Hz AMOLED 64MP OIS camera with 67W fast charging. Designed with premium quality materials by Apple.,"mobile,5g,smartphone,amoled,fastcharge,apple,mobiles,rose gold",25-50,All,Rose Gold,Standard,2025-05-16,https://images.unsplash.com/photo-1500000000057?auto=format&fit=crop&w=600&q=80,Active
PROD_00058,Samsung Sleek Curve Screen 5G Phone - Olive Green,Mobiles,Mid-Range,Samsung,39600.0,40,23760.0,4.6,54,124,52.5,Ultra slim 3D curved display with 50MP portrait selfie. Designed with premium quality materials by Samsung.,"smartphone,curved display,selfie,5g,samsung,mobiles,olive green",Adults,All,Olive Green,128GB,2024-12-31,https://images.unsplash.com/photo-1500000000058?auto=format&fit=crop&w=600&q=80,Active
PROD_00059,OnePlus Smooth Display Mid-Range 5G - Navy Blue,Mobiles,Mid-Range,OnePlus,36530.0,35,23744.5,4.3,23,176,47.7,120Hz AMOLED 64MP OIS camera with 67W fast charging. Designed with premium quality materials by OnePlus.,"mobile,5g,smartphone,amoled,fastcharge,oneplus,mobiles,navy blue",25-50,All,Navy Blue,Default,2026-07-31,https://images.unsplash.com/photo-1500000000059?auto=format&fit=crop&w=600&q=80,Active
PROD_00060,Motorola Battery King Phone 6000mAh,Mobiles,Budget,Motorola,101350.0,25,76012.5,3.9,85,157,49.4,Long-lasting dual SIM smartphone with expandable memory. Designed with premium quality materials by Motorola.,"mobile,budget,long battery,smartphone,motorola,mobiles,silver",Teens & Youth,All,Silver,128GB,2025-11-20,https://images.unsplash.com/photo-1500000000060?auto=format&fit=crop&w=600&q=80,Active
PROD_00061,Apple Pure Android Experience 5G,Mobiles,Mid-Range,Apple,55550.0,40,33330.0,4.6,103,181,54.9,Clean software with best-in-class computational photography. Designed with premium quality materials by Apple.,"google,android,camera phone,5g,apple,mobiles,rose gold",All Ages,All,Rose Gold,128GB,2025-04-14,https://images.unsplash.com/photo-1500000000061?auto=format&fit=crop&w=600&q=80,Active
PROD_00062,Motorola Battery King Phone 6000mAh,Mobiles,Budget,Motorola,88940.0,20,71152.0,4.4,71,99,51.6,Long-lasting dual SIM smartphone with expandable memory. Designed with premium quality materials by Motorola.,"mobile,budget,long battery,smartphone,motorola,mobiles,midnight black",25-50,All,Midnight Black,Default,2025-03-04,https://images.unsplash.com/photo-1500000000062?auto=format&fit=crop&w=600&q=80,Active
PROD_00063,Xiaomi Smooth Display Mid-Range 5G - Rose Gold,Mobiles,Mid-Range,Xiaomi,39700.0,20,31760.0,3.8,332,189,53.2,120Hz AMOLED 64MP OIS camera with 67W fast charging. Designed with premium quality materials by Xiaomi.,"mobile,5g,smartphone,amoled,fastcharge,xiaomi,mobiles,rose gold",25-50,All,Rose Gold,256GB,2026-04-29,https://images.unsplash.com/photo-1500000000063?auto=format&fit=crop&w=600&q=80,Active
PROD_00064,Google Sleek Curve Screen 5G Phone - Pearl White,Mobiles,Mid-Range,Google,40350.0,50,20175.0,4.9,94,139,58.7,Ultra slim 3D curved display with 50MP portrait selfie. Designed with premium quality materials by Google.,"smartphone,curved display,selfie,5g,google,mobiles,pearl white",18-35,All,Pearl White,128GB,2026-05-19,https://images.unsplash.com/photo-1500000000064?auto=format&fit=crop&w=600&q=80,Active
PROD_00065,OnePlus NextGen Smartphone Pro Max,Mobiles,Flagship,OnePlus,90840.0,10,81756.0,3.9,74,18,47.5,Titanium frame with OLED Super Retina display and A17 Pro. Designed with premium quality materials by OnePlus.,"smartphone,ios,apple,flagship,premium,oneplus,mobiles,navy blue",18-35,All,Navy Blue,256GB,2024-09-14,https://images.unsplash.com/photo-1500000000065?auto=format&fit=crop&w=600&q=80,Active
PROD_00066,Realme NextGen Smartphone Pro Max - Charcoal,Mobiles,Flagship,Realme,62920.0,35,40898.0,4.0,155,18,48.7,Titanium frame with OLED Super Retina display and A17 Pro. Designed with premium quality materials by Realme.,"smartphone,ios,apple,flagship,premium,realme,mobiles,charcoal",All Ages,All,Charcoal,Default,2025-04-27,https://images.unsplash.com/photo-1500000000066?auto=format&fit=crop&w=600&q=80,Active
